Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2020-12-21,0.28,0.28,0.29,0.28,,,31053531,8814989,24
2020-12-22,0.28,0.28,0.28,0.28,0.0,0.0,21025503,5887141,16
2020-12-23,0.28,0.28,0.28,0.28,0.0,0.0,13000000,3640000,8
2020-12-24,0.28,0.28,0.28,0.28,0.0,0.0,23300000,6524000,15
2021-01-04,0.29,0.29,0.29,0.29,0.01,3.57,26629000,7722410,20
2021-01-05,0.29,0.29,0.29,0.29,0.0,0.0,10500000,3045000,5
2021-01-07,0.29,0.29,0.29,0.29,0.0,0.0,1500000,435000,3
2021-01-10,0.29,0.29,0.29,0.29,0.0,0.0,3500000,1015000,2
2021-01-11,0.29,0.29,0.29,0.29,0.0,0.0,8300000,2407000,12
2021-01-12,0.29,0.29,0.29,0.29,0.0,0.0,3900000,1131000,8
2021-01-13,0.28,0.28,0.28,0.28,-0.01,-3.45,16000000,4480000,9
2021-01-14,0.28,0.28,0.28,0.28,0.0,0.0,16520687,4625792,11
2021-01-17,0.3,0.29,0.3,0.29,0.02,7.14,7099572,2059872,6
2021-01-18,0.29,0.29,0.29,0.29,-0.01,-3.33,8000000,2320000,6
2021-01-20,0.29,0.29,0.29,0.29,0.0,0.0,2000000,580000,2
2021-01-24,0.29,0.29,0.29,0.29,0.0,0.0,1332921,386547,2
2021-01-25,0.29,0.29,0.29,0.29,0.0,0.0,50000,14500,1
2021-01-27,0.29,0.29,0.29,0.29,0.0,0.0,1000000,290000,1
2021-01-28,0.28,0.28,0.28,0.28,-0.01,-3.45,10000000,2800000,6
2021-02-02,0.28,0.28,0.28,0.28,0.0,0.0,15500000,4340000,5
2021-02-03,0.28,0.29,0.29,0.28,0.0,0.0,2500000,710000,6
2021-02-04,0.28,0.28,0.28,0.28,0.0,0.0,1250000,350000,2
2021-02-07,0.3,0.29,0.3,0.29,0.02,7.14,46000000,13390000,20
2021-02-08,0.3,0.3,0.3,0.29,0.0,0.0,31300000,9388000,16
2021-02-09,0.3,0.31,0.31,0.3,0.0,0.0,103500000,31480000,26
2021-02-10,0.3,0.3,0.3,0.3,0.0,0.0,3000000,900000,2
2021-02-11,0.3,0.3,0.3,0.3,0.0,0.0,4636161,1390848,5
2021-02-14,0.31,0.31,0.31,0.31,0.01,3.33,16100000,4991000,10
2021-02-15,0.32,0.31,0.32,0.31,0.01,3.23,11003102,3413962,5
2021-02-16,0.32,0.32,0.32,0.32,0.0,0.0,28003314,8961060,13
2021-02-17,0.33,0.32,0.33,0.32,0.01,3.13,18500000,6085000,14
2021-02-18,0.33,0.33,0.33,0.33,0.0,0.0,6228153,2055290,4
2021-02-22,0.35,0.33,0.35,0.33,0.02,6.06,18500000,6345000,16
2021-02-23,0.36,0.35,0.36,0.35,0.01,2.86,24050000,8630500,21
2021-02-24,0.35,0.36,0.36,0.35,-0.01,-2.78,6600254,2322092,9
2021-02-25,0.37,0.35,0.37,0.35,0.02,5.71,25650000,9156000,17
2021-03-01,0.37,0.36,0.37,0.36,0.0,0.0,9350000,3376000,9
2021-03-02,0.37,0.38,0.38,0.37,0.0,0.0,27150000,10162000,18
2021-03-03,0.36,0.36,0.36,0.36,-0.01,-2.7,6100000,2196000,5
2021-03-04,0.35,0.35,0.36,0.35,-0.01,-2.78,7300000,2585000,7
2021-03-08,0.36,0.35,0.36,0.35,0.01,2.86,7386161,2621156,6
2021-03-09,0.36,0.37,0.37,0.36,0.0,0.0,13400000,4838000,5
2021-03-11,0.36,0.36,0.36,0.36,0.0,0.0,6000000,2160000,3
2021-03-15,0.39,0.37,0.39,0.37,0.03,8.33,66199746,25061906,32
2021-03-16,0.39,0.38,0.39,0.38,0.0,0.0,43150000,16798500,17
2021-03-17,0.42,0.39,0.42,0.39,0.03,7.69,74800000,30511500,31
2021-03-18,0.44,0.44,0.46,0.43,0.02,4.76,25620791,11419564,17
2021-03-22,0.43,0.45,0.45,0.42,-0.01,-2.27,27459209,11681779,28
2021-03-23,0.41,0.41,0.41,0.41,-0.02,-4.65,30750000,12607500,12
2021-03-24,0.4,0.4,0.41,0.4,-0.01,-2.44,57800000,23420000,29
2021-03-25,0.38,0.38,0.38,0.38,-0.02,-5.0,25410000,9655800,22
2021-03-28,0.37,0.37,0.37,0.37,-0.01,-2.63,7949746,2941406,14
2021-03-29,0.39,0.38,0.39,0.38,0.02,5.41,19000000,7400000,19
2021-03-30,0.38,0.38,0.39,0.38,-0.01,-2.56,13063993,4974318,10
2021-03-31,0.37,0.38,0.38,0.37,-0.01,-2.63,19400000,7179000,18
2021-04-01,0.4,0.4,0.4,0.4,0.03,8.11,7000000,2800000,7
2021-04-04,0.41,0.42,0.42,0.41,0.01,2.5,16422938,6754520,8
2021-04-05,0.41,0.4,0.41,0.39,0.0,0.0,14600000,5856000,15
2021-04-06,0.43,0.4,0.43,0.4,0.02,4.88,57911469,24219588,30
2021-04-07,0.45,0.44,0.45,0.44,0.02,4.65,31547619,13921814,24
2021-04-08,0.43,0.43,0.43,0.43,-0.02,-4.44,5047619,2170476,8
2021-04-11,0.41,0.42,0.42,0.41,-0.02,-4.65,24698146,10171240,14
2021-04-12,0.41,0.41,0.41,0.41,0.0,0.0,5000000,2050000,2
2021-04-13,0.4,0.41,0.41,0.4,-0.01,-2.44,11600000,4701000,10
2021-04-15,0.42,0.4,0.42,0.4,0.02,5.0,44251259,18227504,13
2021-04-18,0.42,0.42,0.42,0.42,0.0,0.0,37000000,15540000,14
2021-04-20,0.41,0.41,0.41,0.41,-0.01,-2.38,7351259,3014016,4
2021-04-21,0.41,0.41,0.41,0.41,0.0,0.0,4100000,1681000,2
2021-04-22,0.42,0.41,0.42,0.41,0.01,2.44,11512190,4825120,11
2021-04-25,0.42,0.42,0.42,0.42,0.0,0.0,5000000,2100000,4
2021-04-27,0.42,0.42,0.42,0.42,0.0,0.0,5685000,2387700,6
2021-04-28,0.42,0.42,0.42,0.42,0.0,0.0,15350000,6447000,12
2021-04-29,0.42,0.42,0.42,0.42,0.0,0.0,19812848,8321396,22
2021-05-02,0.4,0.4,0.4,0.4,-0.02,-4.76,1674488,669795,1
2021-05-03,0.41,0.41,0.41,0.41,0.01,2.5,200000,82000,1
2021-05-04,0.42,0.42,0.42,0.42,0.01,2.44,8800000,3696000,7
2021-05-09,0.41,0.41,0.41,0.41,-0.01,-2.38,9738489,3992780,8
2021-05-10,0.4,0.41,0.41,0.4,-0.01,-2.44,7213381,2955352,7
2021-05-23,0.4,0.4,0.4,0.4,0.0,0.0,5465139,2186056,5
2021-05-24,0.42,0.4,0.42,0.4,0.02,5.0,35288381,14237486,25
2021-05-25,0.44,0.42,0.45,0.42,0.02,4.76,63367982,27838818,45
2021-05-26,0.42,0.44,0.44,0.42,-0.02,-4.55,36164440,15286065,23
2021-05-27,0.43,0.44,0.44,0.43,0.01,2.38,13903899,6087716,9
2021-05-30,0.43,0.43,0.43,0.43,0.0,0.0,8092042,3479578,5
2021-06-01,0.43,0.42,0.43,0.42,0.0,0.0,18100000,7603000,8
2021-06-02,0.41,0.41,0.41,0.41,-0.02,-4.65,10000000,4100000,7
2021-07-12,0.4,0.4,0.4,0.4,-0.01,-2.44,28731000,11492400,22
2021-07-15,0.4,0.4,0.41,0.4,0.0,0.0,12150000,4881500,12
2021-07-27,0.41,0.41,0.41,0.41,0.01,2.5,5500000,2255000,6
2021-07-28,0.41,0.41,0.41,0.41,0.0,0.0,8130943,3333687,13
2021-07-29,0.41,0.4,0.41,0.4,0.0,0.0,2050000,840000,2
2021-08-01,0.41,0.42,0.42,0.41,0.0,0.0,6000000,2500000,6
2021-08-02,0.42,0.41,0.42,0.41,0.01,2.44,22250000,9342500,12
2021-08-03,0.45,0.43,0.45,0.43,0.03,7.14,50500000,22300000,25
2021-08-04,0.46,0.46,0.46,0.46,0.01,2.22,30950000,14237000,25
2021-08-05,0.46,0.45,0.46,0.44,0.0,0.0,27500000,12480000,19
2021-08-10,0.49,0.48,0.49,0.48,0.03,6.52,11000000,5290000,6
2021-08-11,0.5,0.49,0.5,0.49,0.01,2.04,24000000,11900000,11
2021-08-15,0.49,0.5,0.5,0.49,-0.01,-2.0,18800000,9230000,8
2021-08-16,0.49,0.49,0.49,0.49,0.0,0.0,100000,49000,1
2021-08-17,0.45,0.48,0.48,0.45,-0.04,-8.16,10650000,4814000,7
2021-08-18,0.43,0.43,0.46,0.43,-0.02,-4.44,44834588,19713218,26
2021-10-14,0.48,0.48,0.48,0.48,0.05,11.63,100000,48000,1
2021-10-17,0.47,0.47,0.47,0.47,-0.01,-2.08,253000,118910,2
2021-10-20,0.48,0.48,0.48,0.48,0.01,2.13,5003000,2401440,2
2021-10-21,0.49,0.49,0.49,0.49,0.01,2.08,20482000,10036180,13
2021-10-24,0.49,0.49,0.49,0.49,0.0,0.0,6000000,2940000,2
2021-10-25,0.49,0.49,0.49,0.49,0.0,0.0,3000000,1470000,3
2021-10-26,0.5,0.49,0.5,0.49,0.01,2.04,29802000,14661980,18
2021-10-27,0.49,0.5,0.5,0.49,-0.01,-2.0,380000,189000,3
2021-10-28,0.5,0.5,0.5,0.5,0.01,2.04,100000,50000,1
2021-10-31,0.49,0.49,0.49,0.49,-0.01,-2.0,7550000,3699500,3
2021-11-01,0.49,0.49,0.49,0.49,0.0,0.0,10500000,5145000,9
2021-11-02,0.49,0.49,0.49,0.49,0.0,0.0,413265,202500,2
2021-11-03,0.49,0.49,0.49,0.49,0.0,0.0,6250000,3062500,3
2021-11-04,0.48,0.48,0.48,0.48,-0.01,-2.04,10500000,5040000,6
2021-11-08,0.48,0.48,0.48,0.48,0.0,0.0,13713800,6582624,8
2021-11-09,0.48,0.48,0.48,0.48,0.0,0.0,122735,58913,1
2021-11-10,0.47,0.47,0.47,0.47,-0.01,-2.08,2000000,940000,3
2021-11-11,0.48,0.48,0.48,0.48,0.01,2.13,1000000,480000,1
2021-11-14,0.48,0.48,0.48,0.48,0.0,0.0,1000000,480000,1
2021-11-15,0.49,0.49,0.49,0.49,0.01,2.08,100000,49000,1
2021-11-16,0.48,0.48,0.48,0.48,-0.01,-2.04,16250000,7800000,5
2021-11-18,0.46,0.46,0.46,0.46,-0.02,-4.17,9900000,4554000,24
2021-11-21,0.47,0.47,0.47,0.47,0.01,2.17,1000000,470000,1
2021-11-23,0.47,0.47,0.47,0.47,0.0,0.0,11000000,5170000,4
2021-11-24,0.46,0.47,0.47,0.46,-0.01,-2.13,7890000,3637800,11
2021-11-25,0.46,0.46,0.47,0.46,0.0,0.0,7964133,3678501,10
2021-11-28,0.46,0.46,0.46,0.46,0.0,0.0,6000000,2760000,4
2021-12-01,0.46,0.46,0.46,0.46,0.0,0.0,7500000,3450000,4
2021-12-02,0.46,0.46,0.46,0.46,0.0,0.0,10000000,4600000,5
2021-12-05,0.46,0.46,0.46,0.46,0.0,0.0,8000000,3680000,4
2021-12-06,0.48,0.47,0.48,0.47,0.02,4.35,26839592,12809181,17
2021-12-07,0.47,0.47,0.47,0.47,-0.01,-2.08,1000000,470000,1
2021-12-08,0.46,0.46,0.46,0.46,-0.01,-2.13,5000000,2300000,5
2021-12-09,0.47,0.46,0.47,0.45,0.01,2.17,5775771,2666855,7
2021-12-14,0.46,0.46,0.46,0.46,-0.01,-2.13,1000000,460000,1
2021-12-15,0.46,0.46,0.46,0.46,0.0,0.0,9000000,4140000,9
2021-12-16,0.45,0.44,0.45,0.44,-0.01,-2.17,10000000,4450000,3
2021-12-20,0.44,0.45,0.45,0.44,-0.01,-2.22,9137689,4037926,14
2022-03-22,0.42,0.42,0.42,0.42,-0.02,-4.55,20100000,8442000,9
2022-03-23,0.42,0.42,0.43,0.42,0.0,0.0,5000000,2120000,9
2022-03-24,0.4,0.42,0.42,0.4,-0.02,-4.76,11250000,4535000,6
2022-03-27,0.41,0.41,0.41,0.41,0.01,2.5,744614,305292,7
2022-03-28,0.4,0.41,0.41,0.4,-0.01,-2.44,19491890,7846675,8
2022-03-29,0.42,0.41,0.42,0.41,0.02,5.0,13000000,5360000,9
2022-03-30,0.45,0.42,0.45,0.42,0.03,7.14,18010000,7994300,14
2022-03-31,0.45,0.46,0.47,0.45,0.0,0.0,61445792,27955064,22
2022-04-04,0.44,0.45,0.45,0.44,-0.01,-2.22,4000000,1770000,2
2022-04-05,0.47,0.44,0.47,0.44,0.03,6.82,49766185,22293399,16
2022-04-06,0.48,0.48,0.48,0.48,0.01,2.13,1250000,600000,2
2022-04-07,0.49,0.48,0.49,0.48,0.01,2.08,7330000,3519300,5
2022-04-10,0.48,0.49,0.49,0.48,-0.01,-2.04,11250000,5412500,3
2022-04-12,0.5,0.48,0.5,0.48,0.02,4.17,13391455,6597898,10
2022-04-14,0.49,0.47,0.49,0.47,-0.01,-2.0,3500000,1675000,5
2022-04-17,0.47,0.47,0.47,0.47,-0.02,-4.08,204632,96177,1
2022-04-26,0.46,0.47,0.47,0.46,-0.01,-2.13,1902000,874940,3
2022-04-27,0.46,0.46,0.46,0.46,0.0,0.0,1100000,506000,1
2022-05-08,0.44,0.44,0.44,0.44,-0.02,-4.35,58885,25909,1
2022-05-09,0.42,0.42,0.42,0.42,-0.02,-4.55,441632,185485,5
2022-05-10,0.44,0.42,0.44,0.42,0.02,4.76,3392559,1484875,3
2022-05-16,0.43,0.43,0.43,0.43,-0.01,-2.27,1263517,543312,4
2022-05-22,0.41,0.41,0.41,0.41,-0.02,-4.65,2062947,845808,3
2022-05-26,0.41,0.41,0.41,0.41,0.0,0.0,227414,93240,2
2022-05-31,0.4,0.4,0.4,0.4,-0.01,-2.44,2000000,800000,1
2022-06-08,0.4,0.4,0.4,0.4,0.0,0.0,1000000,400000,1
2022-06-09,0.44,0.44,0.44,0.44,0.04,10.0,1565822,688962,3
2022-06-19,0.43,0.41,0.43,0.41,-0.01,-2.27,1582807,665603,6
2022-06-20,0.43,0.43,0.43,0.43,0.0,0.0,4125279,1773870,5
2022-06-21,0.43,0.43,0.43,0.43,0.0,0.0,3000000,1290000,3
2022-06-22,0.43,0.42,0.43,0.42,0.0,0.0,750186,318829,2
2022-07-04,0.43,0.43,0.43,0.43,0.0,0.0,2000000,860000,3
2022-09-04,0.42,0.42,0.42,0.42,-0.01,-2.33,69914,166461,1
2022-09-05,0.44,0.44,0.45,0.44,0.02,4.76,2210000,5000000,8
2022-09-06,0.44,0.44,0.44,0.44,0.0,0.0,440000,1000000,3
2022-09-07,0.44,0.43,0.44,0.43,0.0,0.0,531772,1236676,2
2022-09-08,0.43,0.44,0.44,0.43,-0.01,-2.27,92858,215035,3
2022-09-12,0.44,0.44,0.44,0.44,0.01,2.33,846846,1924650,2
2022-09-20,0.43,0.43,0.43,0.43,-0.01,-2.27,1406957,3271994,2
2022-09-27,0.43,0.43,0.43,0.43,0.0,0.0,5031000,11700000,6
2022-09-29,0.45,0.45,0.45,0.45,0.02,4.65,900000,2000000,2
2022-10-04,0.46,0.46,0.46,0.46,0.01,2.22,460000,1000000,1
2022-10-05,0.47,0.46,0.47,0.46,0.01,2.17,1640000,3500000,5
2022-10-09,0.48,0.48,0.48,0.48,0.01,2.13,1439596,2999159,7
2022-10-10,0.46,0.46,0.46,0.46,-0.02,-4.17,460000,1000000,1
2022-10-11,0.46,0.46,0.46,0.46,0.0,0.0,5060000,11000000,11
2022-10-12,0.45,0.45,0.45,0.45,-0.01,-2.17,45000,100000,1
2022-10-20,0.45,0.45,0.45,0.45,0.0,0.0,370969,824376,1
2022-10-23,0.44,0.45,0.45,0.44,-0.01,-2.22,890000,2000000,3
2022-10-25,0.44,0.44,0.44,0.44,0.0,0.0,500000,220000,2
2022-11-02,0.44,0.44,0.44,0.44,0.0,0.0,100000,44000,1
2022-11-06,0.44,0.44,0.44,0.44,0.0,0.0,500000,220000,1
2022-11-07,0.44,0.44,0.44,0.44,0.0,0.0,4914063,2162188,5
2022-11-14,0.43,0.43,0.43,0.43,-0.01,-2.27,400000,172000,1
2022-11-15,0.43,0.43,0.43,0.43,0.0,0.0,5000000,2150000,3
2022-11-21,0.44,0.44,0.44,0.44,0.01,2.33,600000,264000,1
2022-11-23,0.44,0.44,0.44,0.44,0.0,0.0,5130000,2257200,8
2022-11-24,0.44,0.44,0.44,0.44,0.0,0.0,2000000,880000,1
2022-11-27,0.44,0.44,0.44,0.44,0.0,0.0,7816000,3439040,14
2022-11-28,0.44,0.44,0.44,0.44,0.0,0.0,1000000,440000,2
2022-11-29,0.44,0.44,0.44,0.44,0.0,0.0,1002078,440914,2
2022-12-05,0.44,0.44,0.44,0.44,0.0,0.0,1113000,489720,1
2022-12-07,0.44,0.44,0.44,0.44,0.0,0.0,2013000,885720,3
2022-12-08,0.44,0.44,0.44,0.44,0.0,0.0,1000000,440000,1
2022-12-22,0.42,0.42,0.42,0.42,-0.02,-4.55,2000000,840000,1
2022-12-26,0.42,0.42,0.42,0.42,0.0,0.0,4525000,1900500,8
2022-12-27,0.4,0.42,0.42,0.4,-0.02,-4.76,10750000,4365000,13
2023-01-02,0.42,0.41,0.42,0.41,0.02,5.0,6075000,2491000,9
2023-02-12,0.4,0.4,0.4,0.4,-0.02,-4.76,14102633,5641053,18
2023-02-13,0.39,0.4,0.4,0.39,-0.01,-2.5,13000000,5095000,18
2023-02-19,0.38,0.38,0.38,0.38,-0.01,-2.56,8000000,3040000,6
2023-02-20,0.38,0.38,0.38,0.38,0.0,0.0,500000,190000,1
2023-02-21,0.38,0.38,0.38,0.38,0.0,0.0,5500000,2090000,3
2023-02-22,0.38,0.38,0.38,0.38,0.0,0.0,1000000,380000,1
2023-02-23,0.38,0.38,0.38,0.38,0.0,0.0,5000000,1900000,3
2023-02-28,0.38,0.38,0.38,0.38,0.0,0.0,1000000,380000,1
2023-03-01,0.38,0.38,0.38,0.38,0.0,0.0,3200000,1216000,4
2023-03-02,0.38,0.38,0.38,0.38,0.0,0.0,2062372,783701,1
2023-03-05,0.38,0.38,0.38,0.38,0.0,0.0,100000,38000,1
2023-03-06,0.38,0.38,0.38,0.38,0.0,0.0,200000,76000,1
2023-03-08,0.38,0.38,0.38,0.38,0.0,0.0,750000,285000,1
2023-03-19,0.37,0.37,0.37,0.37,-0.01,-2.63,1000000,370000,2
2023-03-26,0.37,0.37,0.37,0.37,0.0,0.0,3000000,1110000,3
