Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2017-08-21,0.3,0.3,0.3,0.3,,,12000000,3600000,5
2017-08-22,0.3,0.3,0.3,0.3,0.0,0.0,700000,210000,2
2017-08-24,0.29,0.29,0.29,0.29,-0.01,-3.33,350000,101500,2
2017-08-27,0.28,0.28,0.28,0.28,-0.01,-3.45,18650000,5222000,11
2017-08-28,0.28,0.28,0.28,0.28,0.0,0.0,2000000,560000,2
2017-08-29,0.28,0.28,0.28,0.28,0.0,0.0,5000000,1400000,1
2017-08-30,0.28,0.29,0.29,0.28,0.0,0.0,400000,114000,2
2017-08-31,0.28,0.28,0.28,0.28,0.0,0.0,100000,28000,1
2017-09-10,0.3,0.3,0.3,0.3,0.02,7.14,100000,30000,1
2017-09-11,0.32,0.29,0.32,0.29,0.02,6.67,4750000,1446500,7
2017-09-12,0.32,0.31,0.33,0.31,0.0,0.0,35550000,11458000,10
2017-09-13,0.31,0.31,0.31,0.31,-0.01,-3.13,16200000,5022000,5
2017-09-18,0.3,0.29,0.3,0.29,-0.01,-3.23,2192233,657255,3
2017-09-20,0.3,0.3,0.3,0.3,0.0,0.0,19266673,5780002,10
2017-09-24,0.3,0.3,0.3,0.3,0.0,0.0,65302,19591,1
2017-09-25,0.3,0.3,0.3,0.3,0.0,0.0,6000000,1800000,5
2017-09-26,0.29,0.3,0.3,0.29,-0.01,-3.33,20350000,5905000,5
2017-09-27,0.29,0.29,0.29,0.29,0.0,0.0,10093288,2927054,3
2017-09-28,0.29,0.29,0.29,0.29,0.0,0.0,5047576,1463797,3
2017-10-02,0.3,0.3,0.3,0.3,0.01,3.45,5000000,1500000,1
2017-10-11,0.29,0.29,0.29,0.29,-0.01,-3.33,780603,226375,3
2017-10-12,0.3,0.3,0.3,0.3,0.01,3.45,50000,15000,1
2017-10-17,0.3,0.3,0.3,0.3,0.0,0.0,79000000,23700000,21
2017-10-18,0.3,0.3,0.3,0.3,0.0,0.0,20000000,6000000,7
2017-10-19,0.29,0.3,0.3,0.29,-0.01,-3.33,8129442,2360832,6
2017-10-22,0.29,0.29,0.29,0.29,0.0,0.0,2200000,638000,2
2017-10-23,0.3,0.29,0.3,0.29,0.01,3.45,11000000,3203694,5
2017-10-25,0.3,0.29,0.3,0.29,0.0,0.0,13000000,3800000,2
2017-10-26,0.29,0.29,0.29,0.29,-0.01,-3.33,5000000,1450000,3
2017-10-29,0.29,0.29,0.29,0.29,0.0,0.0,10000000,2900000,3
2017-11-01,0.28,0.28,0.28,0.28,-0.01,-3.45,3895560,1090757,5
2017-11-05,0.28,0.28,0.28,0.28,0.0,0.0,14500000,4060000,9
2017-11-06,0.28,0.28,0.28,0.28,0.0,0.0,2824336,790814,2
2017-11-07,0.28,0.28,0.28,0.28,0.0,0.0,9000000,2520000,5
2017-11-09,0.28,0.28,0.28,0.28,0.0,0.0,30670558,8587756,17
2017-11-12,0.29,0.29,0.29,0.29,0.01,3.57,9500000,2755000,7
2017-11-13,0.29,0.29,0.29,0.29,0.0,0.0,15749826,4567450,6
2017-11-14,0.29,0.29,0.29,0.29,0.0,0.0,10030882,2908956,7
2017-11-15,0.3,0.29,0.3,0.29,0.01,3.45,76277672,22880708,41
2017-11-16,0.3,0.3,0.3,0.3,0.0,0.0,28969246,8690774,11
2017-11-19,0.31,0.31,0.31,0.31,0.01,3.33,39677350,12299978,11
2017-11-20,0.31,0.31,0.31,0.31,0.0,0.0,73604440,22817376,29
2017-11-21,0.3,0.3,0.3,0.3,-0.01,-3.23,8735841,2620752,4
2017-11-22,0.29,0.29,0.29,0.29,-0.01,-3.33,86647246,25127702,19
2017-11-23,0.3,0.3,0.3,0.3,0.01,3.45,30000000,9000000,8
2017-11-26,0.3,0.3,0.3,0.3,0.0,0.0,750000,225000,2
2017-11-28,0.29,0.3,0.3,0.29,-0.01,-3.33,35867366,10450152,14
2017-12-04,0.29,0.3,0.3,0.29,0.0,0.0,13000000,3870000,3
2017-12-05,0.3,0.3,0.3,0.3,0.01,3.45,11719098,3515730,2
2018-01-30,0.28,0.28,0.28,0.28,-0.02,-6.67,63509109,17782550,26
2018-01-31,0.28,0.28,0.28,0.28,0.0,0.0,4406503,1233821,4
2018-02-01,0.29,0.29,0.29,0.29,0.01,3.57,20000000,5800000,3
2018-02-04,0.29,0.29,0.29,0.29,0.0,0.0,25000000,7250000,8
2018-02-05,0.29,0.29,0.29,0.29,0.0,0.0,18146315,5262432,6
2018-02-06,0.29,0.29,0.29,0.29,0.0,0.0,20000000,5800000,8
2018-02-07,0.28,0.28,0.28,0.28,-0.01,-3.45,5000000,1400000,1
2018-02-12,0.28,0.28,0.28,0.28,0.0,0.0,3000000,840000,2
2018-02-13,0.29,0.29,0.29,0.29,0.01,3.57,5300000,1537000,4
2018-02-14,0.29,0.29,0.29,0.29,0.0,0.0,21084693,6114561,23
2018-02-15,0.29,0.29,0.29,0.29,0.0,0.0,32700000,9483000,31
2018-02-18,0.3,0.29,0.3,0.29,0.01,3.45,36515307,10869592,70
2018-02-19,0.3,0.3,0.3,0.3,0.0,0.0,41000000,12300000,32
2018-02-20,0.3,0.3,0.3,0.3,0.0,0.0,11707481,3512244,11
2018-02-21,0.29,0.29,0.29,0.29,-0.01,-3.33,517824,150169,2
2018-02-22,0.29,0.29,0.29,0.29,0.0,0.0,3267919,947696,1
2018-02-25,0.29,0.29,0.29,0.29,0.0,0.0,10645158,3087096,11
