Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2022-03-16,1.29,1.21,1.29,1.21,,,174765625,217973408,105
2022-03-17,1.32,1.27,1.32,1.27,0.03,2.33,238818969,309915040,76
2022-03-22,1.33,1.31,1.33,1.3,0.01,0.76,65577946,86243832,32
2022-03-23,1.34,1.32,1.34,1.32,0.01,0.75,86842292,115110696,26
2022-03-24,1.35,1.33,1.35,1.33,0.01,0.75,116750489,156740656,29
2022-03-27,1.34,1.34,1.35,1.34,-0.01,-0.74,29872539,40039204,20
2022-03-28,1.33,1.33,1.33,1.32,-0.01,-0.75,47860000,63330200,16
2022-03-29,1.32,1.31,1.32,1.27,-0.01,-0.75,221990174,286327264,64
2022-03-30,1.33,1.3,1.33,1.3,0.01,0.76,77530000,102061368,39
2022-03-31,1.33,1.32,1.33,1.31,0.0,0.0,117950000,155301504,31
2022-04-03,1.29,1.31,1.31,1.29,-0.04,-3.01,38300000,49480100,26
2022-04-04,1.29,1.28,1.29,1.24,0.0,0.0,384813973,483886176,116
2022-04-05,1.3,1.27,1.3,1.26,0.01,0.78,123605922,159561680,51
2022-04-06,1.31,1.3,1.31,1.3,0.01,0.77,28240000,36762000,12
2022-04-07,1.3,1.3,1.3,1.29,-0.01,-0.76,48500000,62817500,22
2022-04-10,1.29,1.28,1.29,1.27,-0.01,-0.77,122124122,156751536,34
2022-04-11,1.3,1.28,1.3,1.28,0.01,0.78,127969165,164541904,24
2022-04-12,1.29,1.29,1.29,1.28,-0.01,-0.77,106041000,136227888,28
2022-04-13,1.27,1.28,1.28,1.27,-0.02,-1.55,41456665,52722964,19
2022-04-14,1.28,1.27,1.28,1.27,0.01,0.79,22241000,28303890,20
2022-04-17,1.27,1.27,1.27,1.27,-0.01,-0.78,13642739,17326278,4
2022-04-18,1.26,1.26,1.26,1.24,-0.01,-0.79,239000000,299684992,53
2022-04-19,1.25,1.24,1.25,1.23,-0.01,-0.79,12000000,14900000,6
2022-04-20,1.26,1.23,1.26,1.22,0.01,0.8,294902082,365740352,47
2022-04-21,1.25,1.23,1.25,1.23,-0.01,-0.79,175429148,216622496,24
2022-04-24,1.24,1.22,1.24,1.22,-0.01,-0.8,13000000,16020000,2
2022-04-25,1.22,1.22,1.22,1.22,-0.02,-1.61,32820000,40040400,28
2022-04-26,1.22,1.22,1.22,1.22,0.0,0.0,42300000,51606000,32
2022-04-27,1.24,1.22,1.24,1.21,0.02,1.64,66129944,81087136,25
2022-04-28,1.24,1.22,1.24,1.22,0.0,0.0,161920246,198913104,46
2022-05-08,1.22,1.23,1.23,1.22,-0.02,-1.61,24662995,30093954,20
2022-05-09,1.22,1.22,1.23,1.22,0.0,0.0,31926657,38960172,17
2022-05-10,1.25,1.22,1.25,1.21,0.03,2.46,173488343,212546896,35
2022-05-11,1.25,1.23,1.25,1.22,0.0,0.0,69320000,85660200,27
