Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2020-07-20,0.45,0.44,0.45,0.44,,,5800000,2600000,4
2020-07-21,0.43,0.45,0.45,0.43,-0.02,-4.44,18500000,8155000,16
2020-07-22,0.42,0.42,0.42,0.42,-0.01,-2.33,50000,21000,1
2020-07-27,0.4,0.42,0.42,0.4,-0.02,-4.76,200000,82000,2
2020-07-29,0.4,0.4,0.4,0.4,0.0,0.0,2000000,800000,1
2020-08-11,0.44,0.42,0.44,0.42,0.04,10.0,2500000,1060000,3
2020-08-17,0.44,0.43,0.44,0.43,0.0,0.0,5923762,2596455,4
2020-08-19,0.45,0.44,0.45,0.44,0.01,2.27,400000,178000,2
2020-08-23,0.47,0.46,0.47,0.46,0.02,4.44,2850000,1313500,5
2020-08-24,0.46,0.46,0.47,0.46,-0.01,-2.13,24000000,11167500,17
2020-08-25,0.45,0.46,0.46,0.45,-0.01,-2.17,3710636,1704392,3
2020-08-26,0.47,0.45,0.47,0.45,0.02,4.44,3000000,1370000,2
2020-08-27,0.46,0.46,0.47,0.46,-0.01,-2.13,12350000,5771000,15
2020-09-01,0.46,0.47,0.47,0.46,0.0,0.0,15913784,7379340,11
2020-09-02,0.46,0.46,0.46,0.46,0.0,0.0,2000000,920000,1
2020-09-03,0.46,0.46,0.46,0.46,0.0,0.0,790875,363802,1
2020-09-06,0.45,0.45,0.45,0.45,-0.01,-2.17,10000000,4500000,2
2020-09-07,0.45,0.45,0.45,0.45,0.0,0.0,3000000,1350000,1
2020-09-08,0.45,0.45,0.45,0.45,0.0,0.0,7000000,3150000,2
2020-09-13,0.45,0.45,0.45,0.45,0.0,0.0,5000000,2250000,1
2020-09-14,0.45,0.45,0.45,0.45,0.0,0.0,5000000,2250000,1
2020-09-16,0.46,0.46,0.46,0.46,0.01,2.22,10000000,4600000,2
2020-09-17,0.46,0.46,0.46,0.46,0.0,0.0,5000000,2300000,5
2020-09-20,0.44,0.47,0.47,0.44,-0.02,-4.35,84650000,37961000,31
2020-09-21,0.42,0.42,0.44,0.42,-0.02,-4.55,16200000,6808000,11
2020-09-22,0.42,0.42,0.42,0.42,0.0,0.0,5350000,2247000,8
2020-09-23,0.42,0.4,0.42,0.4,0.0,0.0,26583024,10678210,12
2020-09-24,0.44,0.42,0.44,0.42,0.02,4.76,13050000,5619000,8
2020-09-27,0.44,0.44,0.44,0.44,0.0,0.0,233024,102531,1
2020-09-28,0.44,0.44,0.44,0.44,0.0,0.0,2250000,990000,4
2020-09-30,0.43,0.43,0.43,0.43,-0.01,-2.27,4000000,1720000,2
2020-10-01,0.43,0.43,0.43,0.43,0.0,0.0,2000000,860000,1
2020-10-04,0.43,0.43,0.43,0.43,0.0,0.0,1000000,430000,1
