Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2022-01-17,0.52,0.52,0.52,0.52,,,15244371,7927073,17
2022-01-19,0.52,0.52,0.52,0.52,0.0,0.0,11650000,6058000,7
2022-01-24,0.51,0.51,0.51,0.51,-0.01,-1.92,17500000,8925000,6
2022-01-25,0.51,0.51,0.51,0.51,0.0,0.0,32100000,16371000,9
2022-01-26,0.51,0.51,0.51,0.51,0.0,0.0,25351022,12929021,26
2022-01-27,0.51,0.51,0.51,0.51,0.0,0.0,29500000,15045000,7
2022-01-31,0.51,0.51,0.51,0.51,0.0,0.0,13000000,6630000,7
2022-02-02,0.51,0.51,0.51,0.51,0.0,0.0,23000000,11730000,9
2022-02-03,0.51,0.51,0.51,0.51,0.0,0.0,16500000,8415000,4
2022-02-06,0.51,0.51,0.51,0.51,0.0,0.0,27105000,13823550,14
2022-02-07,0.51,0.51,0.51,0.51,0.0,0.0,15245883,7775400,12
2022-02-08,0.51,0.51,0.51,0.51,0.0,0.0,9958877,5079028,9
2022-02-09,0.51,0.51,0.51,0.51,0.0,0.0,15000000,7650000,5
2022-02-10,0.51,0.51,0.51,0.51,0.0,0.0,3000000,1530000,1
2022-02-13,0.51,0.51,0.51,0.51,0.0,0.0,5100000,2601000,2
2022-02-14,0.5,0.5,0.5,0.5,-0.01,-1.96,36900000,18450000,9
2022-02-15,0.5,0.5,0.5,0.5,0.0,0.0,21000000,10500000,11
2022-02-16,0.5,0.5,0.5,0.5,0.0,0.0,10041000,5020500,5
2022-02-17,0.51,0.5,0.51,0.5,0.01,2.0,16173666,8162403,38
2022-02-22,0.51,0.51,0.51,0.51,0.0,0.0,11443000,5835930,14
2022-02-23,0.52,0.52,0.52,0.52,0.01,1.96,5000000,2600000,4
2022-02-24,0.51,0.51,0.51,0.51,-0.01,-1.92,13000000,6630000,7
2022-02-28,0.52,0.51,0.52,0.51,0.01,1.96,11539322,5990448,6
2022-03-02,0.54,0.53,0.54,0.53,0.02,3.85,38380000,20491400,69
2022-03-03,0.52,0.53,0.53,0.52,-0.02,-3.7,37500000,19525000,16
2022-03-06,0.52,0.53,0.53,0.52,0.0,0.0,3500000,1845000,3
2022-03-07,0.52,0.52,0.52,0.52,0.0,0.0,10000000,5200000,13
2022-03-08,0.52,0.52,0.52,0.52,0.0,0.0,100000,52000,1
2022-03-10,0.51,0.52,0.52,0.51,-0.01,-1.92,7104000,3624080,6
2022-03-13,0.51,0.51,0.51,0.51,0.0,0.0,4000000,2040000,4
2022-03-14,0.52,0.51,0.52,0.51,0.01,1.96,9690027,5037814,5
