Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2021-01-25,0.38,0.38,0.38,0.38,,,11200000,4256000,7
2021-01-26,0.38,0.38,0.38,0.38,0.0,0.0,9000000,3420000,4
2021-02-07,0.41,0.41,0.41,0.41,0.03,7.89,200000,82000,1
2021-02-09,0.42,0.41,0.42,0.41,0.01,2.44,5500000,2305000,3
2021-02-10,0.41,0.41,0.41,0.41,-0.01,-2.38,1000000,410000,1
2021-02-11,0.4,0.4,0.4,0.4,-0.01,-2.44,1000000,400000,1
2021-02-15,0.4,0.4,0.4,0.4,0.0,0.0,25396142,10158457,13
2021-02-16,0.41,0.41,0.41,0.41,0.01,2.5,3700000,1517000,4
2021-02-17,0.41,0.41,0.41,0.41,0.0,0.0,1050000,430500,2
2021-02-18,0.41,0.41,0.41,0.41,0.0,0.0,2000000,820000,2
2021-02-23,0.41,0.41,0.41,0.4,0.0,0.0,6570000,2663700,8
2021-02-24,0.4,0.4,0.4,0.4,-0.01,-2.44,8000000,3200000,5
2021-02-25,0.48,0.41,0.48,0.41,0.08,20.0,27700000,11932000,8
2021-03-01,0.49,0.49,0.49,0.49,0.01,2.08,9385520,4598905,9
2021-03-02,0.44,0.46,0.46,0.44,-0.05,-10.2,78005854,34786636,28
2021-03-03,0.43,0.43,0.43,0.43,-0.01,-2.27,1700000,731000,2
2021-03-04,0.43,0.43,0.43,0.43,0.0,0.0,5000000,2150000,1
2021-03-08,0.43,0.43,0.43,0.43,0.0,0.0,2200000,946000,3
2021-03-09,0.44,0.44,0.44,0.44,0.01,2.33,1400000,616000,2
2021-03-11,0.46,0.45,0.46,0.45,0.02,4.55,26400000,12022000,9
2021-03-15,0.46,0.47,0.47,0.46,0.0,0.0,11500000,5320000,7
2021-03-16,0.47,0.47,0.48,0.47,0.01,2.17,14812960,6994091,12
2021-03-17,0.5,0.48,0.5,0.48,0.03,6.38,9000000,4430000,5
2021-03-18,0.5,0.55,0.55,0.5,0.0,0.0,20000000,10260000,8
2021-03-22,0.49,0.5,0.5,0.49,-0.01,-2.0,21200000,10420000,11
2021-03-23,0.47,0.48,0.48,0.47,-0.02,-4.08,15000000,7070000,10
2021-03-24,0.48,0.48,0.48,0.48,0.01,2.13,2000000,960000,2
2021-03-25,0.45,0.48,0.48,0.45,-0.03,-6.25,25347179,11880807,10
2021-03-28,0.45,0.45,0.45,0.45,0.0,0.0,2593991,1167296,5
2021-03-29,0.45,0.45,0.45,0.45,0.0,0.0,10000000,4500000,5
2021-03-30,0.44,0.45,0.45,0.43,-0.01,-2.22,3354667,1485067,6
2021-03-31,0.43,0.44,0.44,0.43,-0.01,-2.27,13335324,5767542,6
2021-04-01,0.45,0.45,0.45,0.45,0.02,4.65,2200000,990000,3
2021-04-04,0.47,0.49,0.49,0.47,0.02,4.44,400000,192000,2
2021-04-05,0.45,0.47,0.47,0.44,-0.02,-4.26,5125000,2321000,11
2021-04-06,0.44,0.43,0.44,0.43,-0.01,-2.22,130000,56400,2
2021-04-07,0.49,0.45,0.49,0.45,0.05,11.36,2375000,1110950,7
2021-04-08,0.47,0.47,0.47,0.47,-0.02,-4.08,1000000,470000,1
2021-04-11,0.43,0.46,0.46,0.43,-0.04,-8.51,16000000,7110000,11
2021-04-12,0.45,0.45,0.45,0.45,0.02,4.65,1200000,540000,2
2021-04-13,0.44,0.44,0.44,0.43,-0.01,-2.22,10624658,4570350,11
2021-04-14,0.44,0.44,0.44,0.44,0.0,0.0,2000000,880000,2
2021-04-15,0.45,0.45,0.45,0.45,0.01,2.27,1000000,450000,1
2021-04-18,0.46,0.46,0.46,0.46,0.01,2.22,2000000,920000,2
2021-04-19,0.46,0.45,0.46,0.45,0.0,0.0,10000000,4580000,7
2021-04-21,0.46,0.46,0.46,0.46,0.0,0.0,2000000,920000,2
2021-04-25,0.44,0.44,0.44,0.44,-0.02,-4.35,6100000,2684000,4
2021-04-27,0.41,0.42,0.43,0.41,-0.03,-6.82,4907144,2063429,7
2021-04-28,0.41,0.41,0.41,0.41,0.0,0.0,1210092,496138,2
2021-04-29,0.42,0.42,0.42,0.42,0.01,2.44,300000,126000,1
2021-05-03,0.42,0.42,0.42,0.42,0.0,0.0,200000,84000,1
2021-05-05,0.41,0.41,0.41,0.41,-0.01,-2.38,1550000,635500,3
2021-05-06,0.45,0.42,0.45,0.42,0.04,9.76,1100000,465000,2
2021-05-10,0.44,0.44,0.44,0.44,-0.01,-2.22,1700000,748000,2
2021-05-25,0.44,0.44,0.45,0.44,0.0,0.0,4335755,1923732,6
2021-05-26,0.42,0.42,0.42,0.42,-0.02,-4.55,1500000,630000,2
2021-05-30,0.41,0.41,0.41,0.41,-0.01,-2.38,1000000,410000,2
2021-06-01,0.41,0.4,0.41,0.4,0.0,0.0,32975000,13499750,7
2021-06-07,0.4,0.4,0.4,0.4,-0.01,-2.44,40000000,16000000,6
