Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2022-02-06,4.15,4.41,4.41,4.0,,,42669600,180013984,168
2022-02-07,4.1,4.15,4.25,4.1,-0.05,-1.2,16990000,70838600,105
2022-02-08,4.11,4.1,4.22,4.1,0.01,0.24,9624200,39700924,54
2022-02-09,4.08,4.1,4.11,4.0,-0.03,-0.73,64365634,258571760,167
2022-02-10,4.13,4.05,4.13,4.05,0.05,1.23,18500194,75890088,88
2022-02-13,4.13,4.15,4.17,4.1,0.0,0.0,5360832,22132412,37
2022-02-14,4.11,4.15,4.15,4.1,-0.02,-0.48,2187000,8969670,17
2022-02-15,4.1,4.11,4.11,4.07,-0.01,-0.24,4125207,16904250,27
2022-02-16,4.3,4.1,4.3,4.1,0.2,4.88,24653354,103906960,101
2022-02-17,4.3,4.3,4.31,4.26,0.0,0.0,30116975,129357064,101
2022-02-20,4.35,4.25,4.35,4.22,0.05,1.16,25677177,110216800,75
2022-02-21,4.37,4.3,4.37,4.3,0.02,0.46,19368000,84246816,50
2022-02-22,4.41,4.34,4.41,4.34,0.04,0.92,23450000,102821920,69
2022-02-23,4.46,4.41,4.46,4.41,0.05,1.13,17970000,79747104,63
2022-02-24,4.49,4.46,4.5,4.46,0.03,0.67,17439761,78226712,64
2022-02-28,4.52,4.5,4.52,4.44,0.03,0.67,16224035,72973200,43
2022-03-02,4.48,4.49,4.49,4.43,-0.04,-0.88,13325678,59360044,45
2022-03-03,4.48,4.44,4.48,4.43,0.0,0.0,12901072,57401088,46
2022-03-06,4.47,4.45,4.47,4.4,-0.01,-0.22,11713727,51904476,41
2022-03-07,4.39,4.44,4.44,4.35,-0.08,-1.79,31921000,139720000,73
2022-03-08,4.35,4.36,4.36,4.3,-0.04,-0.91,21040000,90877952,67
2022-03-09,4.38,4.35,4.39,4.35,0.03,0.69,3923000,17147140,33
2022-03-10,4.36,4.39,4.39,4.35,-0.02,-0.46,15639000,68197040,48
