Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2018-11-04,0.31,0.31,0.31,0.31,,,150000,46500,1
2018-11-05,0.3,0.31,0.31,0.3,-0.01,-3.23,250000,76500,2
2018-11-06,0.3,0.3,0.3,0.29,0.0,0.0,3070000,912500,6
2018-11-07,0.3,0.3,0.3,0.3,0.0,0.0,200000,60000,1
2018-11-08,0.3,0.3,0.3,0.3,0.0,0.0,150000,45000,1
2018-11-12,0.3,0.3,0.3,0.3,0.0,0.0,550000,165000,2
2018-11-14,0.3,0.3,0.3,0.3,0.0,0.0,1100000,330000,3
2018-11-28,0.29,0.29,0.29,0.29,-0.01,-3.33,50000,14500,1
2018-12-11,0.29,0.29,0.29,0.29,0.0,0.0,106401511,30856438,2
2018-12-12,0.3,0.3,0.3,0.3,0.01,3.45,1000000,300000,1
2018-12-24,0.3,0.3,0.3,0.3,0.0,0.0,50000,15000,1
2019-01-02,0.29,0.29,0.29,0.29,-0.01,-3.33,2000000,580000,2
2019-01-03,0.29,0.29,0.29,0.29,0.0,0.0,100000,29000,1
2019-03-17,0.28,0.29,0.29,0.28,-0.01,-3.45,253693,71534,2
2019-04-22,0.3,0.29,0.3,0.29,0.02,7.14,2160000,635500,6
2019-04-23,0.31,0.29,0.31,0.29,0.01,3.33,1450000,424500,4
2019-04-24,0.33,0.31,0.33,0.31,0.02,6.45,9928346,3183787,16
2019-04-25,0.36,0.34,0.36,0.34,0.03,9.09,24410000,8679400,31
2019-04-28,0.39,0.38,0.39,0.38,0.03,8.33,6706000,2610340,15
2019-04-29,0.42,0.42,0.42,0.42,0.03,7.69,6050000,2541000,12
2019-04-30,0.46,0.45,0.46,0.45,0.04,9.52,5495520,2526514,12
2019-05-02,0.47,0.48,0.49,0.46,0.01,2.17,6479400,3088626,25
2019-05-05,0.44,0.45,0.45,0.44,-0.03,-6.38,3350000,1481500,5
2019-05-06,0.44,0.4,0.46,0.4,0.0,0.0,24000000,10340500,54
2019-05-07,0.4,0.44,0.44,0.4,-0.04,-9.09,28536088,11907935,42
2019-05-08,0.4,0.37,0.41,0.37,0.0,0.0,25998400,10118408,34
2019-05-09,0.37,0.4,0.4,0.37,-0.03,-7.5,27500000,10380000,20
