Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,No. Trades
2022-01-23,7.77,7.7,7.83,7.7,,,8969800,69871968,58
2022-01-24,7.89,7.77,7.89,7.77,0.12,1.54,22379035,175530048,91
2022-01-25,7.92,7.9,7.94,7.89,0.03,0.38,7115000,56224500,52
2022-01-26,7.89,7.93,7.93,7.8,-0.03,-0.38,10600000,83071504,63
2022-01-27,7.95,7.88,7.95,7.85,0.06,0.76,5750000,45369500,26
2022-01-30,7.82,7.9,7.9,7.82,-0.13,-1.64,4345000,34119200,34
2022-01-31,7.82,7.82,7.82,7.79,0.0,0.0,1901000,14843200,16
2022-02-02,7.85,7.8,7.86,7.8,0.03,0.38,13086000,102434048,77
2022-02-03,7.88,7.87,7.88,7.84,0.03,0.38,2194000,17223960,18
2022-02-06,7.85,7.92,8.02,7.84,-0.03,-0.38,7951000,62657520,45
2022-02-07,7.84,7.87,7.87,7.84,-0.01,-0.13,3553000,27869250,26
2022-02-08,7.84,7.84,7.85,7.84,0.0,0.0,3618000,28374170,28
2022-02-09,7.83,7.84,7.84,7.82,-0.01,-0.13,3950000,30913500,19
2022-02-10,7.83,7.83,7.84,7.82,0.0,0.0,2616000,20480530,32
2022-02-13,7.83,7.85,7.85,7.83,0.0,0.0,800000,6269100,8
2022-02-14,7.83,7.83,7.89,7.83,0.0,0.0,1335318816,10455583744,15
2022-02-15,7.95,7.85,7.95,7.85,0.12,1.53,38883000,307653088,61
2022-02-16,8.02,7.97,8.04,7.97,0.07,0.88,50802500,406111936,98
2022-02-17,8.07,8.02,8.1,8.02,0.05,0.62,12410000,100299504,58
2022-02-20,8.11,8.07,8.11,8.07,0.04,0.5,9912475,80274544,72
2022-02-21,8.1,8.14,8.2,8.1,-0.01,-0.12,8870000,72357896,49
2022-02-22,8.15,8.19,8.2,8.15,0.05,0.62,13602000,111372016,34
2022-02-23,8.13,8.15,8.15,8.13,-0.02,-0.25,5605000,45656248,23
2022-02-24,8.14,8.15,8.15,8.12,0.01,0.12,3892113,31619400,20
2022-02-28,8.08,8.12,8.12,8.07,-0.06,-0.74,6252800,50634288,35
2022-03-02,8.0,8.12,8.12,8.0,-0.08,-0.99,18331920,147524784,84
2022-03-03,8.0,7.9,8.0,7.9,0.0,0.0,4525000,36101248,40
2022-03-06,7.98,8.0,8.0,7.97,-0.02,-0.25,4700000,37524500,47
2022-03-07,7.96,7.98,8.0,7.95,-0.02,-0.25,3005000,23915150,28
2022-03-08,7.94,7.95,7.95,7.93,-0.02,-0.25,8010000,63585800,37
2022-03-09,7.96,7.96,7.96,7.96,0.02,0.25,28924630,230240048,27
2022-03-10,8.0,7.95,8.0,7.95,0.04,0.5,6119727,48720376,43
2022-03-13,7.95,8.0,8.05,7.95,-0.05,-0.62,9901148,79031128,53
2022-03-14,7.93,7.95,7.95,7.92,-0.02,-0.25,1770793,14044836,16
2022-03-15,8.0,7.96,8.05,7.96,0.07,0.88,2030000,16169150,21
2022-03-16,8.2,8.0,8.2,8.0,0.2,2.5,51619916,422767776,235
2022-03-17,8.1,8.2,8.21,8.08,-0.1,-1.22,32155555,262585840,95
2022-03-22,8.15,8.1,8.18,8.08,0.05,0.62,6175000,50166500,33
2022-03-23,8.34,8.15,8.48,8.15,0.19,2.33,51670911,426672896,156
2022-03-24,8.29,8.31,8.31,8.26,-0.05,-0.6,19675081,163083872,109
2022-03-27,8.31,8.3,8.35,8.3,0.02,0.24,19785000,164387104,58
2022-03-28,8.29,8.3,8.3,8.28,-0.02,-0.24,9784321,81133168,63
